page,row,date,time,title,body
262,1,"2022-08-25","08:57:30","추석 앞두고 '울산몰' 할인행사..쿠폰 제공, 반값 판매","울산페이 울산몰  【파이낸셜뉴스 울산=최수상 기자】 울산시는 추석을 앞두고 지역 소상공인 매출 증대와 소비 진작을 위해 전국 단위 대규모 할인 행사인 ‘대한민국 동행세일’ 등과 연계해 울산몰 할인 행사를 추진한다고 밝혔다. 지역 대표매장인 ‘울산몰’에서는 9월 1일부터 7일까지 첫 구매 지원 할인 쿠폰(5000원, 선착순 1만 명), 쇼핑지원 할인쿠폰(3만 원 한도 20% 할인, 4000매)을 제공하며, 매일 1개 상품(수량 70개)을 반값에 판매한다. 또한 기간 내 구매자와 댓글 행사 참여자에게 추첨을 통해 경품(안마의자 외 3종, 66명)과 적립금(5000원, 100명) 을 지급할 계획이다. 울산몰 이용자는 울산페이 앱에서 ‘울산몰’에 접속 후 별도 회원가입 없이 바로 지역 중소상인이 판매하는 생활용품, 건강식품 등 9300여 종을 울산페이와 신용카드로 구매할 수 있다.    ulsan@fnnews.com 최수상 기자  ▶ 1500% 솟구치는 아직 5000원대 황금株, 급등 전 마지막 기회! [클릭]   ▶“주식카톡방 완전무료 선언” 파격결정   [파이낸셜뉴스 주요뉴스]  → 너무 야해서 MBC가 퇴짜 놨다는 윤은혜 의상 공개 → '41억원' 보이스피싱 당한 40대 의사, 과정 보니... '소름' → 한문철 ""저를 이기실 수 있겠어요?"" 배달기사와 시비 → 이주노, 서태지와 불화설에 한마디 ""서태지 어머니와..."" → 제주 비양도서 60대 남성 숨진 채 발견, 시신 살펴보니... → 빨간 나라로 가는 노란 티켓 [파인애플]  하루만에 高수익 챙길 ‘초대형’ 바이오 대장株! 비밀리에 입수! ▶확인◀   ▶▶[무료공개]◀◀ 지금 ""1,000만원""만 있어도 당장 ""이것""부터 사라!! >>> (무료 체험)    ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지 "
262,2,"2022-08-25","08:57:28","TJ커뮤니케이션, SK텔레콤과 '메타버스 노래방 서비스' 양해각서 체결","[서울=뉴스핌] 배요한 기자 = TJ미디어의 자회사 TJ커뮤니케이션은 SK텔레콤과 '메타버스 노래방 서비스'를 추진하기 양해각서를 체결했다고 24일 밝혔다.  메타버스노래방은 SK텔레콤의 '이프랜드'내에서 사용자 참여형 노래방 서비스로 구현되며, SK텔레콤의 메타버스 기술과 TJ커뮤니케이션이 보유하고 있는 음원노하우를 기반으로 다양한 참여자들의 관심을 이끌어낼 계획이다.  이프랜드는 개성 있는 아바타로 다양한 가상 공간에서 소통하는 메타버스 소셜 커뮤니케이션 서비스다.  양사는 메타버스 노래방의 기획 및 주요 프로그램에 대한운영에 대해서도 긴밀히 협력해, 메타버스 노래방서비스를 선보일 수 있도록 할 예정이다.  메타버스 노래방에 참여도를 높이기 위해서, SK텔레콤은 이프랜드 앱 및 SNS를 통해서도 홍보를 진행한다. TJ커뮤니케이션도 140만 구독자를 보유한 TJ유튜브노래방 등 자체 채널과 함께 모회사인 TJ미디어가 보유한 온라인과 오프라인 채널을 통해서 홍보할 계획이다.    yohan@newspim.com    ▶[급등임박 공개]◀ 2022년 하반기 “고급 급등테마주” TOP10 지금 공개 >>> (바로확인) ""대박비결 공개"" 통장에 20만원 있다면 ""이종목"" 무조건 매수해라! >> ( 무료확인) 오전 9시에 가상화폐 ""이 종목"" 매수하면 무조건 수십배 오른다..>>> (VIP종목 무료공개)        저작권자(c) 글로벌리더의 지름길 종합뉴스통신사 뉴스핌(Newspim), 무단 전재-재배포 금지"
262,3,"2022-08-25","08:57:11","슈프리마, 다음달 신제품 출시…""시장 주목도 높아질 것""-유안타","[뉴스토마토 신송희 기자] 유안타증권은 25일 슈프리마(236200)에 대해 다음달 중 신제품을 출시하면서 시장에 주목을 받을 것으로 기대한다고 말했다. 투자의견과 목표주가는 제시하지 않았다.     권명준 유안타증권 연구원은 “7년 만의 신제품 ‘BioStation3’가 출시될 예정”이라며 “신제품은 비대면인식과 통합솔루션, 친환경적이라는 특징이 있다”고 말했다. 이어 “출시 이후 판매가 본격화되는 4분기부터 실적에 반영될 예정”이라고 덧붙였다.     올해 예상 매출액과 영업이익은 각각 29.5%, 35.0% 증가한 940억원, 219억원으로 기대된다. 그는 “상반기 대비 하반기 매출 비중이 높은 특성을 가지고 있다”며 “신제품 출시에 따른 매출 성장이 기대된다”고 강조했다. 이어 “하반기에는 신제품 출시 관련 비용이 감소될 것으로 예상되면서 이익률 개선도 동반될 전망”이라고 진단했다.     슈프리마는 생체인식(바이오인식) 기반의 보안기업으로 초음파식 지문인식 알고리즘 솔루션을 제공하고 있다. 초음파식은 현재 프리미엄폰 위주로 적용되고 있으며, 중저가 제품으로 확대될 것으로 기대된다.     한편 슈프리마의 올해 예상실적 기준 주가수익비율(PER)은 6.9배로 현재 주가는 매력적이란 평가다.     신송희 기자 shw101@etomato.com [관련기사] · 슈프리마, 견조한 실적에 높은 성장성-키움 [신송희 기자의 다른 뉴스] · (영상)공모주 잠정 휴업 기간…고객잡기 증권사이벤트 '봇물' · 6개 경제단체 ""코리아 디스카운트 원인은 과도한 상속세"" · (특징주)농심, 라면 가격 인상에 상승세 [이 시각 주요뉴스] · '수원 세 모녀' 쓸쓸한 마지막 길…사회에 경종 울렸다 · LH, 서울 광진구 중곡아파트 공공재건축 '속도'  -경제전문 멀티미디어 뉴스통신 뉴스토마토 저작권자(c)뉴스토마토통신. 무단전재-재배포 금지-"
262,4,"2022-08-25","08:57:05","현대로템, 7557억원 규모 공급계약 체결","현대로템(064350)은 25일 이집트 터널청과 7557억176만원 규모의 공급계약을 체결했다고 공시했다. 계약 내용은 이집트카이로 메트로 2, 3호선 전동차 공급 및 현지화 사업 공급계약이다.      이번에 체결한 공급계약 금액은 최근 매출액 2조8725억원 대비 26.3% 규모다.  현대로템은 올해 1월1일 부터 8월 25일까지 총 2건, 누적 금액으론 9367억6866만원의 공급계약을 공시했다. 이는 전년 동기 공급계약 공시 금액 1조913억원 대비 14.2% 감소한 수치다.            양준석 데이터투자 기자 news@datatooza.com  이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 기사는 이데일리와 무관합니다. 기사는 데이터투자(www.datatooza.com)가 제공한 것으로 저작권은 데이터투자에 있습니다. 기사 내용 관련 문의는 데이터투자로 문의하시기 바랍니다.        ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞    "
262,5,"2022-08-25","08:57:02","싸이월드, 천안함 장병 25명 미니홈피 자료 유족에 전달","[아시아경제 최유리 기자] 싸이월드가 2010년 3월 천안함 피격 사건으로 희생된 해군 장병들의 미니홈피 자료를 복원해 유가족에게 전달했다.   25일 싸이월드를 운영하는 싸이월드제트는 천안함 희생 장병 25명의 미니홈피 공개 데이터를 지난 24일 천안함재단에 발송했다. 재단은 이 자료를 유족에게 개별적으로 전달할 예정이다.   희생 장병 46명 중 34명의 유족이 싸이월드제트에 자료 복원을 신청했다. 다만 희생 장병 중 9명은 계정이 비공개 상태여서 데이터를 복원한 후에도 전달할 수 없었다는 설명이다. 이용 약관 상 회사가 개인의 비공개 데이터를 유족에게 전달할 권한이 없기 때문이다.   이번 데이터 전달은 싸이월드제트가 올해 6월 국가보훈처에 천안함 희생 장병의 미니홈피 공개 자료를 원하는 유족에게 전달하겠다는 내용의 공문을 보내고 보훈처가 이를 재단에 전달하면서 추진됐다. 천안함 유족 일부는 2010년 당시 싸이월드를 운영하던 SK커뮤니케이션스 측에자료를 요구한 바 있다. 당시 SK커뮤니케이션즈는 관련 규정이 없다는 이유를 들어 유족의 요청을 거절한 것으로 전해졌다.   이후 싸이월드는 운영사 변경 등을 거쳐 2019년 10월 서비스가 중단됐고 지난해 운영사가 싸이월드제트로 바뀌었다. 싸이월드제트가 올 4 월 서비스를 재개한 뒤 이용 약관을 개정해 '디지털 상속권 보호 서비스'를 시행하면서 희생 장병의 싸이월드 자료를 유족이 받아볼 수 있는방법이 생겼다.    싸이월드제트는 ""개정 이용약관에서 세상을 떠난 싸이월드 회원이 생전에 올렸던 사진과 글 등 게시물 가운데 공개 설정된 것들만 유족에게 제공하겠다""고 밝혔다. 다만 게시물 가운데 상속인에게 이전할 경우 피상속인인 회원의 비밀을 침해할 가능성이 있거나 기타 상속인에게이전하기에 적절하지 않다고 판단되는 게시글에는 서비스가 제한될 수 있다. 비공개 계정 게시글 등이 여기에 해당한다.    ● 구, 대명리조트 특별분양!! 골프 특화, 콘도 회원권 출시~  ● 2022년 정통사주·운세·토정비결 미리보기  ● 급등임박 추천주를 매일 알려주는 곳이 있다고? [카톡방 입장]  [관련기사]  ☞ 경찰, '천안함 사건 재조사' 논란 군진상규명위 관계자 불송치  ☞ 고인 글·사진 유족에게로…싸이월드 '디지털 상속 서비스' 2300여건 접수  ☞ 미니홈피 속 '생전 사진' 유족에게로...싸이월드, 디지털 상속 서비스 시작  ☞ 尹, 호국영웅·유가족들과 오찬…""나라 지킨 영웅들 기억하고 예우할 것""  ☞ 투자 성공의 핵심은 기업분석! 'CORE' 바로가기      최유리 기자 yrchoi@asiae.co.kr   <ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
262,6,"2022-08-25","08:57:01","JB금융, 추석 특별자금 1조1000억원 지원","JB금융그룹은 중소기업과 소상공인을 위한 추석 특별자금으로 1조 1000억 원을 지원한다고 25일 밝혔다.   JB금융그룹 산하 전북은행은 오는 9월 말까지 중소기업을 대상으로 ‘추석 명절 특별운전자금’을 지원키로 했다. 지원 규모는 신규 2500 억 원과 만기연장 2500억 원 등 총 5000억 원이다. 상업어음할인 및 1년 이하 운전자금 대출로, 신규 운전자금 및 기일이 도래한 중소기업 대출 만기 연장이 해당된다. 대출 금리는 거래 기여도 등에 따라 우대금리를 적용한다.   같은 기간 광주은행은 신규 3000억 원과 만기연장 3000억 원 등 총 6000억 원의 특별자금을 지원한다. 신규자금 3000억 원은 ‘중소기업특별자금대출’을 통해 지원되며 업체당 지원 한도는 최고 50억 원이다. 지난 설 특별자금대출보다 20억 원 상향됐다. 산출금리 대비 최대 0.7%포인트 우대받을 수 있다. 만기연장자금은 지난 설 명절보다 1000억 원 증액됐다. 대출 만기를 앞둔 차주는 특별한 경우를 제외하고 연장이 가능하다.   JB금융그룹 관계자는 “이번 추석명절 특별운전자금 지원은 코로나19 여파 속에서 경기침체와 내수부진 등 이중고를 겪고 있는 지역 내 중소기업들의 자금난 해소와 금융비용 절감에 도움을 주기 위해 기획됐다”고 설명했다. /조윤진 기자 jo@sedaily.com  >>[무료 공개]<<지금 ""1,000만원""만 있어도 당장 ""이것""부터 사라!! >>>(무료 체험)  이제는 코인이다! ""급상승 코인종목"" 시장가보다 싸게 살 수 있다!!! >>> (무료확인)  ◑급등 시그널 포착◐ 바닥권에서 선취매할 최적의 타이밍과 종목 공개! [참여코드:7777]  [ⓒ 서울경제, 무단 전재 및 재배포 금지]"
262,7,"2022-08-25","08:56:59","[클릭 e종목]""유틸렉스, 파이프라인 매력적""","[아시아경제 박형수 기자] KB증권은 25일 유틸렉스에 대해 3종의 파이프라인 임상이 순항하고 있다고 분석했다.   유틸렉스는 항체치료제, T세포 치료제, 키메릭항원수용체 T세포(CAR-T) 치료제, 동종(Allogenic) T세포 치료제 등 면역항암제를 개발하고있다.    임상국 KB증권 연구원은 ""한국, 미국에서 EU101에 대한 임상 1/2상 진행 중""이며 ""T세포 활성화 및 증식 특화 면역관문 활성제로 향후 높은 성장성을 기대한다""고 설명했다.   이어 ""BMS와 화이자도4-1BB 타깃 항체 치료제 개발을 진행한 적이 있다""면서도 ""간 독성 이슈 및 약효 입증 실패로 임상을 중단했다""고 덧붙였다.   아울러 ""유틸렉스는 엔지니어링 lgG1 (면역글로블린)을 통해 독성문제를 해결했다""며 ""현재까지 독성이나 부작용 사례는 없다""고 강조했다.   임 연구원은 ""최근 저용량 투약을 통해 치료효과가 우수할 것으로 기대한다""며 ""키트루다 등 면역관문억제제와 병용 투여 시 큰 폭의 시너지, 치료 효과가 예상된다""고 분석했다.   그는 ""EU204(앱비앤티) 임상 2상 이후 조기 상용화 및 혁신신약으로 가치 상승을 기대한다""며 ""림프종의 경우 연구자임상과 임상1/2a상에서 완전관해를 나타냈다""고 말했다.   이어 ""기존 CAR-T 세포치료제의 한계를 극복한 고형암 타깃의 CAR-T치료제 EU307의 성장 잠재력을 기대한다""며 ""EU307은 고형암 가운데 간암에서 많이 발현되는 GPC3를 타깃으로 하는 차세대 CAR-T 세포치료제""라고 소개했다. 유틸렉스는 간암을 표적하는 GPC3 CAR-T세포에 면역활성을유도하며, 체내 CAR-T세포치료제 유지기간을 연장하는 사이토카인의 일종인 IL-18리셉터를 붙여 항암효과를 강화했다.    ● 구, 대명리조트 특별분양!! 골프 특화, 콘도 회원권 출시~  ● 2022년 정통사주·운세·토정비결 미리보기  ● 급등임박 추천주를 매일 알려주는 곳이 있다고? [카톡방 입장]  [관련기사]  ☞ 유틸렉스, 혈액·고형암 타깃 CAR-T 치료제 러시아 특허 확보  ☞ 유틸렉스, 항암자가면역세포치료제앱비앤티셀 임상 1/2a상 추가시험 승인  ☞ [특징주] 바이넥스, 제넥신 코로나19 백신 1000만도즈 공급에 생산 부각  ☞ 유틸렉스, 美FDA로부터 'EU101' 임상 1/2상 시험 계획 승인  ☞ 투자 성공의 핵심은 기업분석! 'CORE' 바로가기      박형수 기자 parkhs@asiae.co.kr   <ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
263,1,"2022-08-25","08:54:05","""제이티, 본업 안정성 다시 한번 확인"" -IBK證","“목표가 1만5000원 유지...전일종가 6580원”  IBK투자증권은 25일 제이티(089790)에 대한 투자의견을 매수, 목표주가를 1만5000원으로 유지했다.      IBK투자증권 이건재 애널리스트가 작성한 제이티 리포트 주요내용은 아래와 같다.  ▶ 본업 안정성 다시 한번 확인   ▶ 2Q 대비 상승할 것으로 예상되는 3Q 실적   ▶ 투자의견 매수, 목표주가 15,000원유지  권희진 데이터투자 기자 news@datatooza.com  이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지않습니다. 해당 기사는 이데일리와 무관합니다. 기사는 데이터투자(www.datatooza.com)가 제공한 것으로 저작권은 데이터투자에 있습니다. 기사 내용 관련 문의는 데이터투자로 문의하시기 바랍니다.        ＜ⓒ종합 경제정보 미디어 이데일리- 무단전재 & 재배포 금지＞    "
263,2,"2022-08-25","08:53:50","코오롱 리조트 앤 호텔, 펫밀리족 위한 '멍BTI’ 테스트 출시","- 반려견을 16가지 유형으로 분석하는 모바일 ‘멍BTI 테스트’ 선보여…’펫프렌들리’ 서비스 통해 ‘펫캉스’ 수요 공략  - 새로운 서비스 론칭 기념 반려견 동반 객실 투숙권, 백화점 상품권 등 혜택 가득 온?오프라인 이벤트 실시    마우나오션리조트 ‘개편한방’    [파이낸셜뉴스] 코오롱 리조트 앤 호텔이 다가오는 26일 ‘세계 개의 날’을 기념해 반려견의 성향을 파악하고 이에 맞는 ‘펫케이션(펫+베케이션)’을 계획할 수 있는 모바일 ‘멍BTI 테스트’를 출시했다. 25일 호텔에 따르면 이번에새롭게 선보이는 모바일 ‘멍BTI 테스트’는 스마트폰으로 손쉽게 반려견의 성격을 분석할 수 있는 서비스다. 별도의 앱 설치나 회원가입 없이 코오롱 리조트 앤 호텔 공식 인스타그램 또는 시설 내 부착된 QR코드를 통해 접속 후 성격 유형 검사를 진행할 수 있다. ‘멍BTI 테스트’는 ‘마이어-브릭스 성격유형지표(MBTI) 테스트’와 동일하게 반려견을 총 16가지 유형으로 분류한다. 다른 반려견을 만났을 때의 반응, 산책할 때의 모습 등 12개의 질문이 주어지며 투숙객은 상황별 반려견의 반응을 예측해 답안을 선택하면 된다. 모바일 ‘멍BTI 테스트’ 출시를 기념한 온?오프라인 이벤트도 실시한다. 먼저 테스트 참여 고객들에게 다양한 상품을 증정하는 ‘내 강아지 MBTI는?’ 온라인 이벤트를 진행한다. 코오롱 리조트 앤 호텔 공식 인스타그램 계정 팔로우 후, 검사 결과 업로드 및 그 외 참여 조건을 충족시키면 누구나 응모 가능하다. 당첨자에게는 마우나오션리조트 반려견 동반 객실 숙박권, 신세계 상품권 등이 제공된다. 응모 기간은 내달 9일까지이며 당첨자 발표는 내달 14일이다. 반려견 동반 객실을 보유한 마우나오션리조트 및 호텔 포코 성수에서는 투숙객 대상 ‘댕댕이 알아보기’ 이벤트를마련했다. 내달 18일까지 ‘멍BTI 테스트’ 결과를 필수 해시태그와 함께 개인 인스타그램에 업로드한 후 프론트에 제시할 경우, 시설별 선착순 30팀에게 반려견 LED 산책 안전등을 증정한다. 이벤트는 준비된 상품 소진 시 조기 마감될 수 있다. 코오롱 리조트 앤 호텔 관계자는 “반려동물을 가족처럼 여기는 ‘펫밀리족’이 지속 증가 추세임에 주목해 반려동물에 대한 인식 수준을 향상시키고 올바른 반려문화를 알리고자 이번 서비스를 기획했다”며 “반려견의 성격을 확인한 후 알맞은 ‘펫캉스’를 코오롱 리조트 앤 호텔에서 즐겨 보기시 바란다”고 말했다.  camila@fnnews.com 강규민 기자  ▶ 1500% 솟구치는 아직 5000원대 황금株, 급등 전 마지막 기회! [클릭]   ▶“주식카톡방 완전무료 선언” 파격결정   [파이낸셜뉴스 주요뉴스]  → 너무 야해서 MBC가 퇴짜 놨다는 윤은혜 의상 공개 → '41억원' 보이스피싱 당한 40대 의사, 과정 보니... '소름' → 한문철 ""저를 이기실 수 있겠어요?"" 배달기사와 시비 → 이주노, 서태지와 불화설에 한마디 ""서태지 어머니와..."" → 제주 비양도서 60대 남성 숨진 채 발견, 시신 살펴보니... → '주린이'가 먹어야 할 과일은? [파인애플]  하루만에 高수익 챙길 ‘초대형’ 바이오 대장株! 비밀리에 입수! ▶확인◀   ▶▶[무료공개]◀◀ 지금 ""1,000만원""만 있어도 당장 ""이것""부터 사라!! >>> (무료 체험)    ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지 "
263,3,"2022-08-25","08:53:41","Brief-ZTO 가격 제공 8억 7천만 달러 전환 선순위 채권","BRIEF-ZTO Prices Offering Of US$870 Mln Convertible Senior Notes .storyContent * {border-color:inherit !important;outline-color:inherit !important;} 8월 24일 (로이터) - 즈토 익스프레스 (케이먼)2057.HK:  zto 가격 제공 8억 7천만 달러 전환 선순위 채권   2027년 만기 전환 선순위 채권의총 원금 금액으로 8억 7천만 달러의 가격을 발표했습니다.    Further company coverage: 2057.HK  Reuters.Briefs@thomsonreuters.com        (c) Copyright Thomson Reuters 2020. Click For Restrictions - https://agency.reuters.com/en/copyright.html   원문 바로가기    DISCLAIMER  레피니티브의 사전, 서면 승인 없는 톰슨로이터 콘텐츠의 재생산이나 재배포는 금지되어 있습니다. 이 기사의 한국어 번역은 에프앤가이드가 사용하는 기계적 번역에 의한 것으로 톰슨로이터와 레피니티브는 번역의 정확성을 보증하지 않습니다."
